;data_pedido;hora_pedido;tipo_entrega;valor_borda;valor_refrigerante;valor_total;tempo;mes;dia_semana;horario_pico;interval_pico;tempo_minutos;rank_quartil;valor_pizza;rank_quartil_valor_total;rank_quartil_valor_total_pizza
39;2011-10-08;20:58:00;Entrega;Borda N;S;32.0;00:38:00;10;sabado;20;alto;38;min: 35 -- 44;32.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
40;2011-10-08;20:58:00;Entrega;Borda N;S;39.0;00:50:00;10;sabado;20;alto;50;min: > 45;34.5;vl_total: > 35;vl_pizza: > 33
41;2011-10-08;21:08:00;Entrega;Borda N;S;30.5;00:40:00;10;sabado;21;alto;40;min: 35 -- 44;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
42;2011-10-08;21:08:00;Entrega;Borda N;S;29.5;00:42:00;10;sabado;21;alto;42;min: 35 -- 44;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
43;2011-10-08;21:08:00;Entrega;Borda N;S;30.5;00:47:00;10;sabado;21;alto;47;min: > 45;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
44;2011-10-08;21:15:00;Entrega;Borda S;S;36.0;00:55:00;10;sabado;21;alto;55;min: > 45;33.5;vl_total: > 35;vl_pizza: > 33
45;2011-10-08;21:30:00;Entrega;Borda N;S;23.5;00:50:00;10;sabado;21;alto;50;min: > 45;23.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
46;2011-10-08;21:47:00;Entrega;Borda N;S;29.5;00:28:00;10;sabado;21;alto;28;min: 24 -- 34;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
47;2011-10-08;21:47:00;Entrega;Borda N;S;29.5;00:28:00;10;sabado;21;alto;28;min: 24 -- 34;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
48;2011-10-08;22:17:00;Entrega;Borda N;S;24.5;00:23:00;10;sabado;22;medio;23;min: 01 -- 23;24.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
49;2011-10-08;23:12:00;Entrega;Borda N;S;32.5;00:28:00;10;sabado;23;baixo;28;min: 24 -- 34;32.5;vl_total: 29 -- 35;vl_pizza: > 33
50;2011-10-09;18:59:00;Buscar;Borda N;S;31.0;00:36:00;10;domingo;18;baixo;36;min: 35 -- 44;31.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
51;2011-10-09;19:18:00;Buscar;Borda N;S;27.0;00:27:00;10;domingo;19;medio;27;min: 24 -- 34;27.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
52;2011-10-09;19:46:00;Entrega;Borda N;S;22.5;00:25:00;10;domingo;19;medio;25;min: 24 -- 34;22.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
53;2011-10-09;19:52:00;Buscar;Borda N;S;20.0;00:34:00;10;domingo;19;medio;34;min: 24 -- 34;20.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
54;2011-10-09;19:52:00;Entrega;Borda N;S;39.0;00:38:00;10;domingo;19;medio;38;min: 35 -- 44;34.5;vl_total: > 35;vl_pizza: > 33
55;2011-10-09;19:57:00;Entrega;Borda N;S;34.0;00:44:00;10;domingo;19;medio;44;min: 35 -- 44;34.0;vl_total: 29 -- 35;vl_pizza: > 33
56;2011-10-09;20:06:00;Entrega;Borda N;S;31.0;00:43:00;10;domingo;20;alto;43;min: 35 -- 44;31.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
57;2011-10-09;20:12:00;Entrega;Borda N;S;25.0;00:45:00;10;domingo;20;alto;45;min: > 45;25.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
58;2011-10-09;20:25:00;Entrega;Borda N;S;34.0;00:44:00;10;domingo;20;alto;44;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
59;2011-10-09;20:34:00;Entrega;Borda N;S;19.5;00:47:00;10;domingo;20;alto;47;min: > 45;19.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
60;2011-10-09;20:37:00;Buscar;Borda S;S;24.5;00:47:00;10;domingo;20;alto;47;min: > 45;22.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
61;2011-10-09;21:11:00;Buscar;Borda S;S;19.5;00:28:00;10;domingo;21;alto;28;min: 24 -- 34;17.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
62;2011-10-09;21:20:00;Entrega;Borda N;S;30.5;00:36:00;10;domingo;21;alto;36;min: 35 -- 44;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
63;2011-10-09;21:46:00;Buscar;Borda N;S;18.0;00:25:00;10;domingo;21;alto;25;min: 24 -- 34;18.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
64;2011-10-11;19:00:00;Entrega;Borda N;S;33.5;00:32:00;10;terca;19;medio;32;min: 24 -- 34;33.5;vl_total: 29 -- 35;vl_pizza: > 33
65;2011-10-11;19:12:00;Entrega;Borda N;S;25.5;00:32:00;10;terca;19;medio;32;min: 24 -- 34;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
66;2011-10-11;20:25:00;Entrega;Borda N;S;22.5;00:26:00;10;terca;20;alto;26;min: 24 -- 34;22.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
67;2011-10-11;20:28:00;Entrega;Borda S;S;41.5;00:40:00;10;terca;20;alto;40;min: 35 -- 44;34.5;vl_total: > 35;vl_pizza: > 33
68;2011-10-11;20:43:00;Entrega;Borda N;S;20.5;00:37:00;10;terca;20;alto;37;min: 35 -- 44;20.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
69;2011-10-11;20:43:00;Entrega;Borda N;S;17.5;00:37:00;10;terca;20;alto;37;min: 35 -- 44;17.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
70;2011-10-11;21:02:00;Entrega;Borda N;S;28.5;00:29:00;10;terca;21;alto;29;min: 24 -- 34;28.5;vl_total: > 35;vl_pizza: 27 -- 32
71;2011-10-11;21:15:00;Buscar;Borda N;S;22.0;00:44:00;10;terca;21;alto;44;min: 35 -- 44;22.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
72;2011-10-11;21:34:00;Entrega;Borda N;S;29.5;00:39:00;10;terca;21;alto;39;min: 35 -- 44;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
73;2011-10-11;21:40:00;Entrega;Borda N;S;32.5;00:35:00;10;terca;21;alto;35;min: 35 -- 44;32.5;vl_total: 29 -- 35;vl_pizza: > 33
74;2011-10-12;18:30:00;Entrega;Borda N;S;37.0;00:25:00;10;quarta;18;baixo;25;min: 24 -- 34;37.0;vl_total: > 35;vl_pizza: > 33
75;2011-10-12;18:35:00;Entrega;Borda N;S;25.0;00:25:00;10;quarta;18;baixo;25;min: 24 -- 34;25.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
76;2011-10-12;18:40:00;Buscar;Borda N;S;23.0;00:30:00;10;quarta;18;baixo;30;min: 24 -- 34;23.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
77;2011-10-12;18:50:00;Entrega;Borda N;S;25.0;00:23:00;10;quarta;18;baixo;23;min: 01 -- 23;25.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
78;2011-10-12;19:12:00;Entrega;Borda N;S;26.0;00:37:00;10;quarta;19;medio;37;min: 35 -- 44;26.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
79;2011-10-12;19:12:00;Entrega;Borda N;S;34.0;00:41:00;10;quarta;19;medio;41;min: 35 -- 44;34.0;vl_total: 29 -- 35;vl_pizza: > 33
80;2011-10-12;19:20:00;Entrega;Borda N;S;23.5;00:31:00;10;quarta;19;medio;31;min: 24 -- 34;23.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
81;2011-10-12;19:25:00;Entrega;Borda N;S;30.0;00:40:00;10;quarta;19;medio;40;min: 35 -- 44;25.5;vl_total: 29 -- 35;vl_pizza: 22 -- 26
82;2011-10-12;19:29:00;Entrega;Borda N;S;30.0;00:44:00;10;quarta;19;medio;44;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
83;2011-10-12;19:33:00;Entrega;Borda N;S;25.5;00:42:00;10;quarta;19;medio;42;min: 35 -- 44;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
84;2011-10-12;19:49:00;Entrega;Borda N;S;35.0;00:52:00;10;quarta;19;medio;52;min: > 45;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
85;2011-10-12;19:53:00;Entrega;Borda N;S;29.5;00:47:00;10;quarta;19;medio;47;min: > 45;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
86;2011-10-12;20:30:00;Entrega;Borda S;S;32.0;00:45:00;10;quarta;20;alto;45;min: > 45;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
87;2011-10-12;21:28:00;Buscar;Borda N;S;19.0;00:22:00;10;quarta;21;alto;22;min: 01 -- 23;19.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
88;2011-10-12;21:58:00;Entrega;Borda N;S;29.5;00:30:00;10;quarta;21;alto;30;min: 24 -- 34;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
89;2011-10-12;22:00:00;Entrega;Borda N;S;38.0;00:32:00;10;quarta;22;medio;32;min: 24 -- 34;33.5;vl_total: > 35;vl_pizza: > 33
90;2011-10-12;22:23:00;Entrega;Borda N;S;25.5;00:21:00;10;quarta;22;medio;21;min: 01 -- 23;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
91;2011-10-13;18:54:00;Buscar;Borda N;S;18.0;00:41:00;10;quinta;18;baixo;41;min: 35 -- 44;18.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
92;2011-10-13;19:00:00;Entrega;Borda N;S;14.0;00:42:00;10;quinta;19;medio;42;min: 35 -- 44;14.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
93;2011-10-13;20:00:00;Buscar;Borda N;S;14.5;00:40:00;10;quinta;20;alto;40;min: 35 -- 44;14.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
94;2011-10-13;20:47:00;Buscar;Borda N;S;10.0;00:24:00;10;quinta;20;alto;24;min: 24 -- 34;10.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
95;2011-10-13;21:00:00;Entrega;Borda N;S;25.0;00:45:00;10;quinta;21;alto;45;min: > 45;25.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
96;2011-10-13;22:10:00;Entrega;Borda N;S;32.5;00:40:00;10;quinta;22;medio;40;min: 35 -- 44;32.5;vl_total: 29 -- 35;vl_pizza: > 33
97;2011-10-14;22:20:00;Buscar;Borda N;S;28.0;00:40:00;10;sexta;22;medio;40;min: 35 -- 44;28.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
98;2011-10-14;19:22:00;Entrega;Borda N;S;34.0;00:35:00;10;sexta;19;medio;35;min: 35 -- 44;34.0;vl_total: 29 -- 35;vl_pizza: > 33
99;2011-10-14;19:39:00;Entrega;Borda N;S;25.5;00:26:00;10;sexta;19;medio;26;min: 24 -- 34;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
100;2011-10-14;19:42:00;Entrega;Borda N;S;20.5;00:36:00;10;sexta;19;medio;36;min: 35 -- 44;20.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
101;2011-10-14;19:50:00;Buscar;Borda N;S;30.0;00:40:00;10;sexta;19;medio;40;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
102;2011-10-14;19:52:00;Buscar;Borda N;S;10.0;00:38:00;10;sexta;19;medio;38;min: 35 -- 44;10.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
103;2011-10-14;19:54:00;Entrega;Borda N;S;34.0;00:51:00;10;sexta;19;medio;51;min: > 45;34.0;vl_total: 29 -- 35;vl_pizza: > 33
104;2011-10-14;20:01:00;Buscar;Borda N;S;31.0;00:48:00;10;sexta;20;alto;48;min: > 45;31.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
105;2011-10-14;20:03:00;Entrega;Borda N;S;23.5;00:51:00;10;sexta;20;alto;51;min: > 45;23.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
106;2011-10-14;20:15:00;Entrega;Borda N;S;29.5;00:55:00;10;sexta;20;alto;55;min: > 45;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
107;2011-10-14;20:45:00;Entrega;Borda N;S;30.5;00:39:00;10;sexta;20;alto;39;min: 35 -- 44;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
108;2011-10-14;20:54:00;Entrega;Borda N;S;18.5;00:39:00;10;sexta;20;alto;39;min: 35 -- 44;18.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
109;2011-10-14;20:55:00;Buscar;Borda N;S;11.5;00:35:00;10;sexta;20;alto;35;min: 35 -- 44;11.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
110;2011-10-14;21:30:00;Entrega;Borda N;S;14.0;00:21:00;10;sexta;21;alto;21;min: 01 -- 23;14.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
111;2011-10-14;22:43:00;Buscar;Borda N;S;11.5;00:22:00;10;sexta;22;medio;22;min: 01 -- 23;11.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
112;2011-10-15;18:10:00;Buscar;Borda N;S;20.0;00:45:00;10;sabado;18;baixo;45;min: > 45;20.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
113;2011-10-15;18:12:00;Buscar;Borda N;S;15.0;00:28:00;10;sabado;18;baixo;28;min: 24 -- 34;15.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
114;2011-10-15;18:13:00;Buscar;Borda N;S;22.0;00:47:00;10;sabado;18;baixo;47;min: > 45;22.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
115;2011-10-15;18:14:00;Buscar;Borda N;S;31.0;00:36:00;10;sabado;18;baixo;36;min: 35 -- 44;31.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
116;2011-10-15;18:20:00;Buscar;Borda N;S;27.0;00:40:00;10;sabado;18;baixo;40;min: 35 -- 44;27.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
117;2011-10-15;19:00:00;Entrega;Borda N;S;30.5;00:30:00;10;sabado;19;medio;30;min: 24 -- 34;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
118;2011-10-15;19:19:00;Buscar;Borda N;S;21.0;00:19:00;10;sabado;19;medio;19;min: 01 -- 23;21.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
119;2011-10-15;19:48:00;Entrega;Borda N;S;25.5;00:37:00;10;sabado;19;medio;37;min: 35 -- 44;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
120;2011-10-15;19:50:00;Entrega;Borda N;S;25.5;00:45:00;10;sabado;19;medio;45;min: > 45;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
121;2011-10-15;19:50:00;Entrega;Borda N;S;33.5;00:55:00;10;sabado;19;medio;55;min: > 45;33.5;vl_total: 29 -- 35;vl_pizza: > 33
122;2011-10-15;20:01:00;Entrega;Borda S;S;36.0;00:54:00;10;sabado;20;alto;54;min: > 45;33.5;vl_total: > 35;vl_pizza: > 33
123;2011-10-15;20:10:00;Entrega;Borda N;S;32.5;00:45:00;10;sabado;20;alto;45;min: > 45;32.5;vl_total: 29 -- 35;vl_pizza: > 33
124;2011-10-15;20:15:00;Entrega;Borda N;S;25.5;00:45:00;10;sabado;20;alto;45;min: > 45;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
125;2011-10-15;20:22:00;Entrega;Borda N;S;22.5;00:37:00;10;sabado;20;alto;37;min: 35 -- 44;22.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
126;2011-10-15;20:52:00;Buscar;Borda S;S;32.5;00:33:00;10;sabado;20;alto;33;min: 24 -- 34;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
127;2011-10-15;21:10:00;Entrega;Borda N;S;25.5;00:35:00;10;sabado;21;alto;35;min: 35 -- 44;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
128;2011-10-15;21:10:00;Entrega;Borda N;S;25.5;00:35:00;10;sabado;21;alto;35;min: 35 -- 44;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
129;2011-10-15;21:31:00;Entrega;Borda N;S;34.5;00:34:00;10;sabado;21;alto;34;min: 24 -- 34;34.5;vl_total: 29 -- 35;vl_pizza: > 33
130;2011-10-15;21:52:00;Buscar;Borda N;S;35.0;00:33:00;10;sabado;21;alto;33;min: 24 -- 34;31.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
131;2011-10-15;22:06:00;Entrega;Borda N;S;25.5;00:27:00;10;sabado;22;medio;27;min: 24 -- 34;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
132;2011-10-15;22:10:00;Buscar;Borda N;S;32.0;00:30:00;10;sabado;22;medio;30;min: 24 -- 34;32.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
133;2011-10-15;23:15:00;Buscar;Borda N;S;30.0;00:40:00;10;sabado;23;baixo;40;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
134;2011-10-16;22:20:00;Entrega;Borda N;S;20.5;00:30:00;10;domingo;22;medio;30;min: 24 -- 34;20.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
135;2011-10-16;20:43:00;Entrega;Borda N;S;24.5;00:32:00;10;domingo;20;alto;32;min: 24 -- 34;24.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
136;2011-10-16;20:49:00;Entrega;Borda N;S;19.5;00:34:00;10;domingo;20;alto;34;min: 24 -- 34;19.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
137;2011-10-16;20:52:00;Buscar;Borda N;S;23.0;00:32:00;10;domingo;20;alto;32;min: 24 -- 34;23.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
138;2011-10-18;19:10:00;Entrega;Borda N;S;33.5;00:42:00;10;terca;19;medio;42;min: 35 -- 44;33.5;vl_total: 29 -- 35;vl_pizza: > 33
139;2011-10-18;19:14:00;Entrega;Borda N;S;33.5;00:40:00;10;terca;19;medio;40;min: 35 -- 44;33.5;vl_total: 29 -- 35;vl_pizza: > 33
140;2011-10-18;21:18:00;Buscar;Borda N;S;30.0;00:35:00;10;terca;21;alto;35;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
141;2011-10-18;21:48:00;Entrega;Borda N;S;29.0;00:28:00;10;terca;21;alto;28;min: 24 -- 34;24.5;vl_total: 29 -- 35;vl_pizza: 22 -- 26
142;2011-10-18;22:49:00;Buscar;Borda N;S;26.0;00:26:00;10;terca;22;medio;26;min: 24 -- 34;26.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
143;2011-10-19;19:00:00;Buscar;Borda N;S;18.0;00:40:00;10;quarta;19;medio;40;min: 35 -- 44;18.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
144;2011-10-19;19:15:00;Entrega;Borda N;S;28.5;00:33:00;10;quarta;19;medio;33;min: 24 -- 34;28.5;vl_total: > 35;vl_pizza: 27 -- 32
145;2011-10-19;19:24:00;Entrega;Borda N;S;35.0;00:40:00;10;quarta;19;medio;40;min: 35 -- 44;35.0;vl_total: 29 -- 35;vl_pizza: > 33
146;2011-10-19;21:15:00;Entrega;Borda N;S;30.5;00:33:00;10;quarta;21;alto;33;min: 24 -- 34;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
147;2011-10-19;21:41:00;Entrega;Borda S;S;37.0;00:33:00;10;quarta;21;alto;33;min: 24 -- 34;34.5;vl_total: > 35;vl_pizza: > 33
148;2011-10-19;22:04:00;Buscar;Borda N;S;21.0;00:46:00;10;quarta;22;medio;46;min: > 45;21.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
149;2011-10-19;22:11:00;Buscar;Borda N;S;15.0;00:27:00;10;quarta;22;medio;27;min: 24 -- 34;15.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
150;2011-10-19;22:25:00;Buscar;Borda N;S;32.5;00:37:00;10;quarta;22;medio;37;min: 35 -- 44;28.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
151;2011-10-20;19:20:00;Buscar;Borda N;S;26.0;00:20:00;10;quinta;19;medio;20;min: 01 -- 23;26.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
